"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-01","0.27",,,"40","43","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-02","0.00",,,"25","45","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-03","0.28",,,"42","47","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-04","0.30",,,"46","50","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-05","0.00",,,"41","44","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-06","0.03",,,"37","41","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-07","0.21",,,"43","46","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-08","0.32",,,"41","46","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-09","0.19",,,"40","44","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-10","0.19",,,"35","36","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-11","0.06",,,"36","37","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-12","0.21",,,"35","38","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-13","0.10",,,"38","40","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-14","0.29",,,"41","44","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-15","0.00",,,"39","43","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-16","0.28",,,"43","50","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-17","0.01",,,"42","49","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-18","0.00",,,"36","41","30"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-19","0.09",,,"37","44","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-20","0.14",,,"41","47","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-21","0.19",,,"44","48","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-22","0.02",,,"42","46","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-23","0.00",,,"40","46","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-24","0.00",,,"42","51","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-25","0.10",,,"43","48","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-26","0.00",,,"40","44","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2000-01-27","0.00",,,"41","47","35"
